Waypoint Name,Waypoint Number,Visible,Status,Latitude (deg),Longitude (deg),,
Mission Start - June 22  2026,1,1,Sent,48.80082,-125.27838, ,
GNSSA-01,110,1,Sent,48.18419,-127.19183, ,
GNSSA-01-1A,111,1,Sent,48.19449,-127.15555, ,
GNSSA-01-2A,112,1,Sent,48.15788,-127.19109, ,
GNSSA-01-3N,113,1,Sent,48.18414,-127.23119, ,
GNSSA-02,120,1,Sent,48.55736,-127.16538, ,
GNSSA-02-01,121,1,Sent,48.56592,-127.19774, ,
GNSSA-02-02,122,1,Sent,48.53445,-127.16061, ,
GNSSA-02-03,123,1,Sent,48.57169,-127.13805, ,
GNSSA-03,130,1,Sent,48.71481,-126.84296, ,
GNSSA-03-01,131,1,Sent,48.71864,-126.82472, ,
GNSSA-03-02,132,1,Sent,48.72341,-126.85701, ,
GNSSA-03-03,133,1,Sent,48.70254,-126.84771, ,
GNSSA-04,140,1,Sent,48.27082,-126.43582, ,
GNSSA-04-01,141,1,Sent,48.27626,-126.40902, ,
GNSSA-04-02,142,1,Sent,48.25259,-126.44208, ,
GNSSA-04-03,143,1,Sent,48.28370,-126.45612, ,
GNSSA-05,150,1,Sent,48.42763,-126.17440, ,
GNSSA-05-01,151,1,Sent,48.43095,-126.17644, ,
GNSSA-05-02,152,1,Sent,48.42717,-126.16907, ,
GNSSA-05-03,153,1,Sent,48.42478,-126.17766, ,
GNSSA-06,160,1,Sent,48.84813,-127.46840, ,
GNSSA-06-01,161,1,Sent,48.82995,-127.45442, ,
GNSSA-06-02,162,1,Sent,48.84917,-127.49925, ,
GNSSA-06-03,163,1,Sent,48.86536,-127.45190, ,
GNSSA-07,170,1,Sent,48.96327,-127.24511, ,
GNSSA-07-01,171,1,Sent,48.95252,-127.26772, ,
GNSSA-07-02,172,1,Sent,48.98157,-127.24755, ,
GNSSA-07-03,173,1,Sent,48.95597,-127.21952, ,
GNSSA-03-01,180,1,Sent,48.71864,-126.82472, ,
GNSSA-03-01_shape_4,181,1,Sent,48.71465,-126.82821, ,
GNSSA-03-01_shape_5,182,1,Sent,48.71864,-126.83169, ,
GNSSA-03-01_shape_6,183,1,Sent,48.72263,-126.82821, ,
GNSSA-03-01_shape_1,184,1,Sent,48.72263,-126.82124, ,
GNSSA-03-01_shape_2,185,1,Sent,48.71864,-126.81776, ,
